id		nm		lat		lon		countryCode
691526		Tymoshivka		47.184181		35.108810		UA
712559		Bilopillya		51.150162		34.312870		UA
707471		Ivano-Frankivsk		48.921501		24.709721		UA
704670		Kotsyubinskoye		50.488361		30.329571		UA
692702		Staryy Sambor		49.438560		23.000561		UA
699553		Novohrad-Volynskyy		50.594120		27.616501		UA
698131		Ovruch		51.324600		28.803511		UA
6930327		Slavutich		51.519642		30.734341		UA
690469		Varva		50.495029		32.719681		UA
699680		Novoarkhanhelsk		48.658031		30.818211		UA
694333		Shatsk		51.502079		23.938061		UA
708313		Horodok		49.784649		23.648060		UA
693284		Sokyryany		48.447472		27.416780		UA
707757		Hlyboka		48.089710		25.929331		UA
707292		Izyum		49.208752		37.248482		UA
705183		Komsomolske		49.597012		36.526180		UA
697592		Pervomaysk		48.629879		38.548061		UA
709276		Energodar		47.498650		34.657398		UA
7525990		Yuzhnoukrainsk		47.817768		31.182631		UA
713222		Arbuzynka		47.909721		31.319630		UA
687997		Yuzhne		46.622108		31.101311		UA
712488		Bilyayivka		46.483189		30.216780		UA
706546		Kehychivka		49.286560		35.761532		UA
703061		Lymanske		46.655701		29.967220		UA
708878		Henichesk		46.175919		34.803398		UA
709493		Dubrovytsya		51.574379		26.565029		UA
695516		Rokytne		51.279598		27.214001		UA
692856		Stara Vyzhivka		51.437618		24.439970		UA
686803		Zvenyhorodka		49.078659		30.967541		UA
688587		Yahotyn		50.279751		31.762461		UA
691016		Tulchyn		48.674480		28.846411		UA
692087		Svitlovodsk		49.048939		33.241058		UA
692818		Starokostyantyniv		49.757641		27.203421		UA
694382		Shakhtersk		48.062519		38.516651		UA
695965		Piatykhatky		48.413330		33.710560		UA
696566		Popasnaya		48.633282		38.378040		UA
697183		Pyryatyn		50.244499		32.510731		UA
698428		Orikhiv		47.567310		35.785751		UA
698953		Novyy Buh		47.693081		32.521599		UA
699078		Novoukrayinka		48.326351		31.528521		UA
699839		Nova Kakhovka		46.754509		33.348640		UA
700646		Mukacheve		48.439190		22.717791		UA
700829		Molodogvardeysk		48.345779		39.658241		UA
